elapsed_s,angle_deg,buzzer_state
24.678,0.0,0
24.740,0.0,0
24.850,0.0,0
24.915,0.0,0
24.976,0.0,0
25.032,0.0,0
25.148,0.0,0
25.209,0.0,0
25.270,0.0,0
25.389,0.0,0
25.455,0.0,0
25.511,0.0,0
25.572,0.0,0
25.690,0.0,0
25.745,0.0,0
25.799,0.0,0
25.924,0.0,0
25.986,0.0,0
26.047,0.0,0
26.103,0.0,0
26.220,0.0,0
26.282,0.0,0
26.337,0.0,0
26.399,0.0,0
26.520,3.9,0
26.573,0.0,0
26.628,0.0,0
26.760,2.7,0
26.821,-11.0,0
26.880,0.0,0
26.941,0.0,0
27.057,0.0,0
27.112,0.0,0
27.174,0.0,0
27.290,0.0,0
27.351,0.0,0
27.419,0.0,0
27.472,0.0,0
27.578,0.0,0
27.632,0.0,0
27.694,0.0,0
27.811,0.0,0
27.872,0.0,0
27.929,0.0,0
28.046,0.0,0
28.108,0.0,0
28.169,0.0,0
28.223,0.0,0
28.340,0.0,0
28.396,0.0,0
28.458,0.0,0
28.574,2.7,0
28.630,0.0,0
28.698,0.0,0
28.762,0.0,0
28.876,0.0,0
28.937,-2.5,0
29.000,0.0,0
29.118,0.0,0
29.179,2.7,0
29.235,0.0,0
29.303,0.0,0
29.365,0.0,0
29.485,5.4,0
29.547,0.0,0
29.608,0.0,0
29.673,0.0,0
29.790,0.0,0
29.844,-3.8,0
29.911,0.0,0
29.976,0.0,0
30.093,2.9,0
30.147,0.0,0
30.210,0.0,0
30.335,0.0,0
30.390,0.0,0
30.452,3.3,0
30.513,0.0,0
30.630,0.0,0
30.686,0.0,0
30.748,0.0,0
30.857,-3.9,0
30.921,0.0,0
30.983,5.1,0
31.045,2.8,0
31.163,0.0,0
31.225,0.0,0
31.279,0.0,0
31.388,0.0,0
31.443,0.0,0
31.496,0.0,0
31.601,0.0,0
31.658,0.0,0
31.719,0.0,0
31.842,0.0,0
31.903,3.3,0
31.959,0.0,0
32.025,0.0,0
32.149,0.0,0
32.216,0.0,0
32.278,4.9,0
32.333,0.0,0
32.458,0.0,0
32.512,0.0,0
32.574,3.7,0
32.636,0.0,0
