elapsed_s,angle_deg,buzzer_state
0.763,0.0,0
0.874,0.0,0
0.932,0.0,0
0.989,0.0,0
1.098,0.0,0
1.157,0.0,0
1.214,0.0,0
1.324,0.0,0
1.389,0.0,0
1.441,0.0,0
1.506,0.0,0
1.622,0.0,0
1.687,0.0,0
1.741,0.0,0
1.807,2.6,0
1.922,0.0,0
1.979,0.0,0
2.044,0.0,0
2.109,0.0,0
2.214,0.0,0
2.279,0.0,0
2.390,0.0,0
2.444,0.0,0
2.496,0.0,0
2.605,0.0,0
2.657,0.0,0
2.718,0.0,0
2.844,0.0,0
2.909,0.0,0
2.964,0.0,0
3.029,7.9,0
3.147,0.0,0
3.210,0.0,0
3.264,0.0,0
3.329,0.0,0
3.447,3.4,0
3.513,7.9,0
3.578,11.4,0
3.632,13.9,0
3.756,15.6,0
3.810,18.6,0
3.864,19.3,0
3.980,25.0,0
4.040,24.3,0
4.098,26.6,0
4.229,26.9,0
4.282,28.1,0
4.347,28.3,0
4.410,27.8,0
4.513,27.5,0
4.578,26.9,0
4.644,29.9,0
4.709,29.7,0
4.829,36.6,1
4.882,35.2,1
4.947,40.9,1
5.064,40.4,1
5.129,39.5,1
5.183,42.6,1
5.313,42.5,1
5.378,40.3,1
5.432,43.6,1
5.497,42.5,1
5.562,42.1,1
5.682,44.0,1
5.740,43.5,1
5.797,42.6,1
5.914,46.0,1
5.978,41.3,1
6.032,33.9,1
6.155,24.2,0
6.213,20.5,0
6.278,15.3,0
6.345,11.6,0
6.455,9.1,0
6.513,4.0,0
6.579,0.0,0
6.643,-2.7,0
6.755,-6.5,0
6.810,-8.6,0
6.913,-10.1,0
6.979,-12.0,0
7.044,-12.4,0
7.155,-13.7,0
7.210,-12.9,0
7.263,-15.8,0
7.393,-17.3,0
7.459,-18.4,0
7.512,-18.0,0
7.579,-18.4,0
7.705,-20.2,0
7.763,-19.1,0
7.829,-22.9,0
7.894,-23.7,0
8.013,-23.2,0
8.080,-23.4,0
8.146,-24.7,0
8.212,-24.7,0
8.279,-26.3,0
8.391,-24.7,0
8.444,-25.6,0
8.547,-25.9,0
8.612,-25.3,0
8.679,-26.6,0
8.782,-27.5,0
8.844,-27.5,0
8.896,-27.5,0
9.005,-27.5,0
9.061,-25.9,0
9.179,-28.4,0
9.244,-28.8,0
9.305,-27.8,0
9.363,-28.1,0
9.480,-29.3,0
9.532,-31.0,1
9.656,-30.5,1
9.712,-31.5,1
9.779,-32.3,1
9.882,-32.7,1
9.947,-29.4,0
10.012,-30.0,1
10.128,-31.9,1
10.190,-31.7,1
10.247,-29.7,0
10.309,-29.7,0
10.429,-30.7,1
10.482,-31.8,1
10.547,-31.4,1
10.662,-29.2,0
10.714,-30.8,1
10.780,-24.7,0
10.883,-24.7,0
10.940,-19.9,0
11.007,-16.2,0
11.115,-11.1,0
11.181,-4.2,0
11.297,2.6,0
11.355,6.4,0
11.411,11.2,0
11.479,13.0,0
11.590,17.0,0
11.647,20.2,0
11.712,20.8,0
11.779,22.7,0
11.894,28.9,0
11.960,27.2,0
12.013,30.1,1
12.130,29.4,0
12.194,22.9,0
12.259,18.4,0
12.313,13.9,0
12.432,7.4,0
12.494,0.0,0
12.547,-6.7,0
12.663,-15.0,0
12.729,-14.6,0
12.782,-23.7,0
12.897,-35.2,1
12.962,-25.7,0
13.029,-29.3,0
13.095,-31.3,1
13.210,-28.8,0
13.262,-32.3,1
13.330,-39.8,1
13.455,-37.9,1
13.509,-40.7,1
13.562,-36.6,1
13.680,-39.3,1
13.733,-42.0,1
13.797,-38.4,1
13.913,-37.4,1
13.980,-41.0,1
14.044,-43.1,1
14.156,-37.3,1
14.213,-38.4,1
14.279,-40.0,1
14.395,-40.5,1
14.447,-37.6,1
14.514,-38.2,1
14.580,-38.8,1
14.697,-35.9,1
14.755,-38.8,1
14.864,-39.3,1
14.929,-38.7,1
14.982,-36.4,1
15.113,-35.3,1
15.165,-40.4,1
15.229,-38.6,1
15.346,-36.2,1
15.412,-36.3,1
15.478,-41.0,1
15.540,-38.8,1
15.606,-37.4,1
15.713,-39.9,1
15.779,-39.2,1
15.882,-37.4,1
15.947,-38.7,1
16.013,-42.0,1
16.079,-36.0,1
16.198,-37.2,1
16.263,-39.4,1
16.330,-37.4,1
16.396,-36.1,1
16.461,-37.2,1
16.579,-26.9,0
16.632,-34.8,1
16.697,-26.6,0
16.813,-31.9,1
16.879,-26.6,0
16.932,-17.2,0
17.062,-9.2,0
17.129,-9.0,0
17.182,-4.9,0
17.244,3.4,0
17.364,15.7,0
17.429,25.3,0
17.496,31.7,1
17.562,39.5,1
17.629,53.1,1
17.744,33.9,1
17.797,3.3,0
17.856,0.0,0
17.965,-13.9,0
18.029,-17.6,0
18.144,-18.9,0
18.197,-8.3,0
18.255,-8.9,0
18.379,10.2,0
18.432,25.8,0
18.490,12.1,0
18.547,-6.9,0
18.663,-16.3,0
18.730,-16.0,0
18.790,-8.6,0
18.899,0.0,0
18.955,17.3,0
19.011,5.6,0
19.129,-9.8,0
19.197,-10.6,0
19.262,-7.8,0
19.330,-7.5,0
19.397,13.7,0
19.513,13.0,0
19.579,-2.7,0
19.644,-2.6,0
19.760,-11.8,0
19.813,-11.2,0
19.879,-17.7,0
19.932,5.6,0
20.060,14.0,0
20.113,12.2,0
20.179,15.8,0
20.297,12.3,0
20.362,28.2,0
20.429,32.3,1
20.482,44.5,1
20.606,51.3,1
20.663,57.3,1
20.729,54.8,1
20.782,53.0,1
20.914,54.5,1
20.979,56.3,1
21.032,55.1,1
21.095,53.1,1
21.214,57.1,1
21.279,57.1,1
21.345,55.5,1
21.462,55.0,1
21.529,55.2,1
21.594,53.1,1
21.647,50.6,1
21.712,52.2,1
21.829,52.3,1
21.881,34.3,1
21.997,25.6,0
22.063,16.9,0
22.131,11.5,0
22.197,7.0,0
22.263,4.0,0
22.329,3.2,0
22.455,3.0,0
22.512,0.0,0
22.578,-4.6,0
22.632,-3.5,0
22.756,12.9,0
22.812,5.2,0
22.879,0.0,0
22.932,0.0,0
23.047,0.0,0
23.112,0.0,0
23.179,0.0,0
23.283,0.0,0
23.347,0.0,0
23.406,0.0,0
23.464,0.0,0
23.582,0.0,0
23.647,0.0,0
23.712,0.0,0
23.779,0.0,0
23.897,0.0,0
23.959,0.0,0
24.014,0.0,0
24.079,0.0,0
24.146,0.0,0
24.265,0.0,0
24.329,0.0,0
24.382,0.0,0
24.505,0.0,0
24.564,0.0,0
24.629,0.0,0
24.690,0.0,0
24.797,0.0,0
24.856,0.0,0
24.909,0.0,0
25.014,0.0,0
25.080,0.0,0
25.147,0.0,0
25.213,0.0,0
25.330,0.0,0
25.397,0.0,0
25.462,0.0,0
25.515,0.0,0
25.632,0.0,0
25.696,0.0,0
25.762,0.0,0
25.830,0.0,0
25.897,0.0,0
26.014,0.0,0
26.079,0.0,0
26.132,0.0,0
26.195,0.0,0
26.313,0.0,0
26.380,0.0,0
26.432,0.0,0
26.560,0.0,0
26.614,0.0,0
26.679,0.0,0
26.745,0.0,0
26.859,2.6,0
26.913,0.0,0
26.979,0.0,0
27.032,0.0,0
27.160,0.0,0
27.212,0.0,0
27.278,0.0,0
27.390,0.0,0
27.444,0.0,0
27.505,0.0,0
27.565,0.0,0
27.680,0.0,0
27.744,0.0,0
27.796,0.0,0
27.914,0.0,0
27.979,0.0,0
28.032,0.0,0
28.097,0.0,0
28.212,0.0,0
28.279,0.0,0
28.331,0.0,0
28.447,0.0,0
28.510,0.0,0
28.563,0.0,0
28.629,0.0,0
28.740,0.0,0
28.797,0.0,0
28.863,0.0,0
28.929,0.0,0
29.047,0.0,0
29.112,0.0,0
29.180,0.0,0
29.233,0.0,0
29.356,0.0,0
29.411,0.0,0
29.479,0.0,0
29.547,0.0,0
29.610,0.0,0
29.715,0.0,0
29.779,0.0,0
29.847,0.0,0
29.964,0.0,0
30.021,0.0,0
30.078,0.0,0
30.195,0.0,0
30.247,0.0,0
30.310,0.0,0
30.415,0.0,0
30.479,0.0,0
30.532,0.0,0
30.647,0.0,0
30.700,0.0,0
30.755,0.0,0
30.865,0.0,0
30.929,0.0,0
30.982,0.0,0
31.114,0.0,0
31.180,2.7,0
31.247,0.0,0
31.310,0.0,0
31.364,0.0,0
31.480,0.0,0
31.547,0.0,0
31.613,0.0,0
31.679,0.0,0
31.743,0.0,0
31.809,0.0,0
31.914,0.0,0
31.979,0.0,0
32.097,0.0,0
32.163,0.0,0
32.229,0.0,0
32.290,0.0,0
32.344,0.0,0
32.456,0.0,0
32.512,0.0,0
32.579,0.0,0
32.683,0.0,0
32.747,0.0,0
32.813,0.0,0
32.878,0.0,0
32.995,0.0,0
33.047,0.0,0
33.111,0.0,0
33.179,0.0,0
33.297,2.6,0
33.361,0.0,0
33.413,0.0,0
33.532,0.0,0
33.598,0.0,0
33.664,0.0,0
33.729,0.0,0
33.790,0.0,0
33.912,0.0,0
33.980,0.0,0
34.045,0.0,0
34.115,0.0,0
34.179,0.0,0
34.248,0.0,0
34.357,0.0,0
34.422,0.0,0
34.489,0.0,0
34.557,0.0,0
34.679,2.7,0
34.748,0.0,0
34.806,0.0,0
34.863,0.0,0
34.929,0.0,0
34.998,0.0,0
35.114,0.0,0
35.179,0.0,0
35.245,0.0,0
35.307,0.0,0
35.423,0.0,0
35.495,0.0,0
35.555,0.0,0
35.614,0.0,0
35.732,0.0,0
35.797,0.0,0
35.863,0.0,0
35.930,0.0,0
35.991,0.0,0
36.112,0.0,0
36.180,0.0,0
36.248,0.0,0
36.313,0.0,0
36.379,0.0,0
36.444,0.0,0
36.565,0.0,0
36.629,0.0,0
36.694,0.0,0
36.763,0.0,0
36.829,0.0,0
36.897,0.0,0
37.030,0.0,0
37.097,0.0,0
37.164,0.0,0
37.229,0.0,0
37.291,0.0,0
37.397,0.0,0
37.454,0.0,0
37.516,0.0,0
37.629,0.0,0
37.690,0.0,0
37.748,0.0,0
37.810,0.0,0
37.922,0.0,0
37.989,0.0,0
38.051,0.0,0
38.113,0.0,0
38.235,0.0,0
38.289,0.0,0
38.355,0.0,0
38.417,0.0,0
38.538,0.0,0
38.605,0.0,0
38.667,0.0,0
38.721,0.0,0
38.848,0.0,0
38.914,0.0,0
38.981,0.0,0
39.047,0.0,0
39.105,0.0,0
39.228,0.0,0
39.291,0.0,0
39.352,0.0,0
39.413,2.7,0
39.475,0.0,0
39.594,0.0,0
39.663,0.0,0
39.729,0.0,0
39.797,0.0,0
39.856,0.0,0
39.980,0.0,0
40.045,0.0,0
40.112,0.0,0
40.169,0.0,0
40.281,0.0,0
40.337,0.0,0
40.404,0.0,0
40.463,0.0,0
40.591,0.0,0
40.654,0.0,0
40.716,0.0,0
40.774,0.0,0
40.901,0.0,0
40.963,0.0,0
41.023,0.0,0
41.089,0.0,0
41.150,0.0,0
41.274,0.0,0
41.336,0.0,0
41.398,0.0,0
41.465,0.0,0
41.584,0.0,0
41.646,0.0,0
41.708,0.0,0
41.778,0.0,0
41.832,0.0,0
41.949,0.0,0
42.014,0.0,0
42.076,0.0,0
42.140,0.0,0
42.264,0.0,0
42.323,0.0,0
42.379,0.0,0
42.497,0.0,0
42.556,0.0,0
42.613,0.0,0
42.679,0.0,0
42.797,0.0,0
42.864,0.0,0
42.930,0.0,0
42.997,0.0,0
43.063,0.0,0
43.129,0.0,0
43.244,0.0,0
43.299,0.0,0
43.354,0.0,0
43.465,0.0,0
43.522,0.0,0
43.580,0.0,0
43.713,0.0,0
43.779,0.0,0
43.840,0.0,0
43.898,0.0,0
43.956,0.0,0
44.073,0.0,0
44.139,0.0,0
44.197,0.0,0
44.257,0.0,0
44.374,0.0,0
44.432,0.0,0
44.492,0.0,0
44.617,0.0,0
44.683,0.0,0
44.752,0.0,0
44.813,0.0,0
44.877,0.0,0
45.000,0.0,0
45.065,0.0,0
45.123,0.0,0
45.184,0.0,0
45.247,0.0,0
45.377,0.0,0
45.432,0.0,0
45.489,0.0,0
45.548,0.0,0
45.665,0.0,0
45.727,0.0,0
45.789,0.0,0
45.911,0.0,0
45.971,0.0,0
46.024,0.0,0
46.082,0.0,0
46.206,0.0,0
46.268,0.0,0
46.328,0.0,0
46.389,0.0,0
46.512,0.0,0
46.588,0.0,0
46.649,0.0,0
46.707,0.0,0
46.769,0.0,0
46.839,0.0,0
46.963,0.0,0
47.025,0.0,0
47.082,0.0,0
47.196,0.0,0
47.252,0.0,0
47.307,0.0,0
47.423,0.0,0
47.482,0.0,0
47.547,0.0,0
47.614,0.0,0
47.672,0.0,0
47.805,0.0,0
47.864,0.0,0
47.929,0.0,0
47.997,0.0,0
48.062,0.0,0
48.130,0.0,0
48.247,0.0,0
48.315,0.0,0
48.376,0.0,0
48.439,0.0,0
48.510,0.0,0
48.633,0.0,0
48.698,0.0,0
48.756,2.7,0
48.829,0.0,0
48.890,0.0,0
48.963,0.0,0
49.079,0.0,0
49.140,0.0,0
49.213,0.0,0
49.271,0.0,0
49.394,0.0,0
49.456,0.0,0
49.515,0.0,0
49.581,0.0,0
49.647,0.0,0
49.756,0.0,0
49.815,0.0,0
49.931,0.0,0
49.998,0.0,0
50.058,0.0,0
50.119,0.0,0
50.187,0.0,0
50.312,0.0,0
50.372,0.0,0
50.432,0.0,0
50.493,0.0,0
50.609,0.0,0
50.680,0.0,0
50.747,0.0,0
50.812,0.0,0
50.879,0.0,0
50.944,0.0,0
51.064,0.0,0
51.129,0.0,0
51.194,0.0,0
51.263,0.0,0
51.329,0.0,0
51.398,0.0,0
51.515,0.0,0
51.579,0.0,0
51.645,0.0,0
51.710,0.0,0
51.829,0.0,0
51.883,0.0,0
51.947,0.0,0
52.010,0.0,0
52.080,0.0,0
52.193,0.0,0
52.262,0.0,0
52.329,0.0,0
52.397,0.0,0
52.462,0.0,0
52.530,0.0,0
52.637,0.0,0
52.702,0.0,0
52.764,0.0,0
52.894,0.0,0
52.955,0.0,0
53.010,0.0,0
53.063,0.0,0
53.181,0.0,0
53.245,0.0,0
53.304,0.0,0
53.415,0.0,0
53.479,0.0,0
53.545,0.0,0
53.606,0.0,0
53.668,0.0,0
53.790,0.0,0
53.847,0.0,0
53.908,0.0,0
54.027,0.0,0
54.094,0.0,0
54.156,0.0,0
54.216,0.0,0
54.333,0.0,0
54.394,0.0,0
54.457,0.0,0
54.515,0.0,0
54.628,0.0,0
54.690,0.0,0
54.753,0.0,0
