elapsed_s,angle_deg,buzzer_state
0.753,-0.7,0
0.876,0.7,0
0.937,-2.9,0
0.997,-2.1,0
1.058,0.0,0
1.172,-2.0,0
1.234,0.0,0
1.292,0.0,0
1.407,-3.3,0
1.462,-4.5,0
1.516,-1.5,0
1.633,3.1,0
1.691,1.3,0
1.754,1.8,0
1.815,0.7,0
1.932,-2.2,0
1.989,-0.7,0
2.054,-1.4,0
2.170,10.5,0
2.222,3.9,0
2.285,-2.6,0
2.397,-0.6,0
2.453,0.0,0
2.507,-3.6,0
2.623,-2.0,0
2.685,-2.0,0
2.738,9.7,0
2.855,0.0,0
2.907,-1.3,0
2.965,-2.0,0
3.079,-5.0,0
3.136,0.0,0
3.244,0.0,0
3.297,0.0,0
3.352,-0.6,0
3.470,-4.4,0
3.525,1.3,0
3.588,0.7,0
3.654,2.1,0
3.771,-1.5,0
3.830,1.8,0
3.885,-0.7,0
3.989,0.0,0
4.054,-1.4,0
4.596,-0.7,0
4.597,0.7,0
4.597,-0.8,0
4.599,-2.2,0
4.601,-2.7,0
4.601,-0.7,0
4.603,-2.7,0
4.655,2.5,0
4.772,2.0,0
4.826,-1.9,0
4.880,0.0,0
4.998,-0.7,0
5.053,1.9,0
5.107,2.0,0
5.217,3.4,0
5.274,-0.7,0
5.389,0.8,0
6.061,0.7,0
6.062,-0.6,0
6.064,0.7,0
6.064,-1.3,0
6.065,-2.8,0
6.066,0.0,0
6.066,-0.7,0
6.068,0.7,0
6.068,-1.5,0
6.134,0.0,0
6.189,0.0,0
6.304,0.0,0
6.362,0.0,0
6.415,0.7,0
6.480,4.0,0
6.604,-2.5,0
6.665,-2.7,0
6.725,0.6,0
6.833,-2.0,0
6.889,-0.7,0
6.942,2.7,0
7.048,0.7,0
7.104,-4.1,0
7.212,0.0,0
7.272,0.0,0
7.337,0.7,0
7.404,-2.2,0
7.514,-0.7,0
7.580,-0.7,0
7.639,0.7,0
7.762,-0.7,0
7.820,0.6,0
7.873,0.7,0
7.986,-0.7,0
8.039,2.7,0
8.097,2.0,0
8.206,0.0,0
8.270,-0.7,0
8.323,1.9,0
8.428,1.8,0
8.485,-2.0,0
8.590,-2.7,0
8.654,0.0,0
8.715,2.8,0
8.782,7.5,0
8.890,2.9,0
8.947,3.1,0
9.004,0.7,0
9.122,-3.9,0
9.187,-1.5,0
9.247,4.3,0
9.355,3.2,0
9.407,-3.9,0
9.472,-1.3,0
9.589,4.2,0
9.647,-6.4,0
9.704,4.6,0
9.831,1.2,0
9.896,3.7,0
9.954,4.0,0
10.014,0.7,0
10.119,5.4,0
10.180,2.5,0
10.234,8.9,0
10.338,176.0,1
10.404,12.7,0
10.508,24.7,0
10.571,16.0,0
10.624,17.7,0
10.732,13.7,0
10.790,10.2,0
10.849,14.2,0
10.975,4.1,0
11.032,-178.7,1
11.090,2.7,0
11.155,1.4,0
11.274,-4.0,0
11.340,1.3,0
11.399,1.3,0
11.462,-0.7,0
11.588,0.7,0
11.654,-2.0,0
11.707,1.2,0
11.765,0.7,0
11.886,0.7,0
11.938,-1.3,0
12.005,0.0,0
12.119,1.3,0
12.181,0.0,0
12.239,5.2,0
12.304,2.0,0
12.370,3.9,0
12.489,6.0,0
12.554,5.0,0
12.607,3.4,0
12.716,1.3,0
12.781,0.0,0
12.839,5.0,0
12.955,9.7,0
13.007,18.0,0
13.072,19.8,0
13.134,31.2,1
13.240,38.2,1
13.304,39.6,1
13.369,40.0,1
13.497,41.9,1
13.555,48.8,1
13.615,38.6,1
13.723,43.7,1
13.788,50.3,1
13.852,49.3,1
13.956,49.5,1
14.020,49.5,1
14.081,49.1,1
14.190,53.1,1
14.254,60.0,1
14.320,59.9,1
14.431,57.8,1
14.486,59.7,1
14.554,60.9,1
14.607,58.7,1
14.728,59.6,1
14.789,61.9,1
14.854,60.6,1
14.965,62.2,1
15.022,60.9,1
15.082,61.9,1
15.204,62.2,1
15.257,62.8,1
15.322,62.5,1
15.387,60.5,1
15.499,61.4,1
15.566,61.9,1
15.633,62.5,1
15.742,61.7,1
15.795,61.4,1
15.849,60.2,1
15.974,63.4,1
16.035,61.9,1
16.088,61.6,1
16.202,60.2,1
16.264,60.0,1
16.325,61.1,1
16.449,62.2,1
16.513,62.1,1
16.572,61.3,1
16.631,60.5,1
16.748,59.9,1
16.804,64.1,1
16.867,63.1,1
16.979,59.8,1
17.037,60.8,1
17.096,62.2,1
17.220,65.0,1
17.273,61.3,1
17.333,61.1,1
17.439,60.2,1
17.504,61.2,1
17.564,61.6,1
17.671,60.6,1
17.724,61.4,1
17.788,64.7,1
17.904,62.1,1
17.972,62.5,1
18.035,63.1,1
18.142,57.1,1
18.204,51.5,1
18.270,41.4,1
18.328,35.4,1
18.437,33.1,1
18.504,19.0,0
18.572,17.5,0
18.635,11.2,0
18.740,8.6,0
18.804,5.4,0
18.870,1.9,0
18.987,-3.3,0
19.047,1.3,0
19.106,2.0,0
19.166,0.7,0
19.272,0.7,0
19.339,0.0,0
19.404,1.4,0
19.522,1.3,0
19.587,0.7,0
19.654,1.3,0
19.719,0.0,0
